_id,title,pageCount,publishedYear,status,authors
1,Unlocking Android,416,2009,PUBLISH,"'W. Frank Ableson', 'Charlie Collins', 'Robi Sen'"
2,"Android in Action, Second Edition",592,2011,PUBLISH,"'W. Frank Ableson', 'Robi Sen'"
3,Specification by Example,287,2011,PUBLISH,'Gojko Adzic'
4,Flex 3 in Action,576,2009,PUBLISH,"'Tariq Ahmed with Jon Hirschi', 'Faisal Abid'"
5,Flex 4 in Action,600,2010,PUBLISH,"'Tariq Ahmed', 'Dan Orlando', 'John C. Bland II', 'Joel Hooks'"
6,Collective Intelligence in Action,425,2008,PUBLISH,'Satnam Alag'
7,Zend Framework in Action,432,2008,PUBLISH,"'Rob Allen', 'Nick Lo', 'Steven Brown'"
8,Flex on Java,265,2010,PUBLISH,"'Bernerd Allmon', 'Jeremy Anderson'"
9,Griffon in Action,375,2012,PUBLISH,"'Andres Almiray', 'Danno Ferrin', '', 'James Shingler'"
10,OSGi in Depth,325,2011,PUBLISH,'Alexandre de Castro Alves'
11,Flexible Rails,592,2008,PUBLISH,'Peter Armstrong'
12,Hello! Flex 4,258,2009,PUBLISH,'Peter Armstrong'
13,Coffeehouse,316,1997,PUBLISH,"'Levi Asher', 'Christian Crumlish'"
14,Team Foundation Server 2008 in Action,344,2008,PUBLISH,'Jamil Azher'
15,Brownfield Application Development in .NET,550,2010,PUBLISH,"'Kyle Baley', 'Donald Belcham'"
16,MongoDB in Action,287,2011,PUBLISH,'Kyle Banker'
17,Distributed Application Development with PowerBuilder 6.0,504,1998,PUBLISH,'Michael J. Barlotta'
18,Jaguar Development with PowerBuilder 7,550,1999,PUBLISH,'Michael Barlotta'
19,Taming Jaguar,362,2000,PUBLISH,"'Michael J. Barlotta', 'Jason R. Weiss'"
20,3D User Interfaces with Java 3D,520,2000,PUBLISH,'Jon Barrilleaux'
21,Hibernate in Action,400,2004,PUBLISH,"'Christian Bauer', 'Gavin King'"
22,Hibernate in Action (Chinese Edition),400,1999,PUBLISH,"'Christian Bauer', 'Gavin King'"
23,Java Persistence with Hibernate,880,2006,PUBLISH,"'Christian Bauer', 'Gavin King'"
24,JSTL in Action,480,2002,PUBLISH,'Shawn Bayern'
25,iBATIS in Action,384,2007,PUBLISH,"'Clinton Begin', 'Brandon Goodin', 'Larry Meadors'"
26,Designing Hard Software,350,1997,PUBLISH,'Douglas W. Bennett'
27,Hibernate Search in Action,488,2008,PUBLISH,"'Emmanuel Bernard', 'John Griffin'"
28,jQuery in Action,376,2008,PUBLISH,"'Bear Bibeault', 'Yehuda Katz'"
